trial_id,review_id,m1_profile,m2_profile,interaction_style,m1_gender,m2_gender,m1_initial,m2_initial,m1_final,m2_final,m1_changed,m2_changed,m1_toward_m2,m2_toward_m1,m1_change_magnitude,m2_change_magnitude,initial_disagreement
23,9478,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
24,7510,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.05,0.05,0.05,0.05,False,False,False,False,0.0,0.0,0.0
25,24903,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.85,0.91,0.91,0.88,True,True,True,True,0.06000000000000005,0.030000000000000027,0.06000000000000005
26,4963,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
27,11548,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.12,0.12,0.1,True,True,True,True,0.01999999999999999,0.01999999999999999,0.01999999999999999
28,22333,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.85,0.85,0.85,0.85,False,False,False,False,0.0,0.0,0.0
29,14428,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.91,0.85,0.85,0.91,True,True,True,True,0.06000000000000005,0.06000000000000005,0.06000000000000005
30,12897,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.95,0.95,0.95,0.95,False,False,False,False,0.0,0.0,0.0
31,22359,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.89,0.92,0.92,0.89,True,True,True,True,0.030000000000000027,0.030000000000000027,0.030000000000000027
32,21918,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.85,0.93,0.93,0.9,True,True,True,True,0.08000000000000007,0.030000000000000027,0.08000000000000007
33,22062,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.95,0.95,0.95,0.95,False,False,False,False,0.0,0.0,0.0
34,19934,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.75,0.72,0.72,0.75,True,True,True,True,0.030000000000000027,0.030000000000000027,0.030000000000000027
35,15168,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.85,0.65,0.65,0.85,True,True,True,True,0.19999999999999996,0.19999999999999996,0.19999999999999996
36,8570,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.2,0.15,0.15,0.15,True,False,True,False,0.05000000000000002,0.0,0.05000000000000002
37,20422,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.65,0.65,0.65,0.65,False,False,False,False,0.0,0.0,0.0
38,5319,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.2,0.15,0.15,0.2,True,True,True,True,0.05000000000000002,0.05000000000000002,0.05000000000000002
39,18311,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.9,0.95,0.95,0.92,True,True,True,True,0.04999999999999993,0.029999999999999916,0.04999999999999993
40,3530,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.2,0.17,0.17,0.17,True,False,True,False,0.03,0.0,0.03
41,17253,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.75,0.25,0.25,0.5,True,True,True,True,0.5,0.25,0.5
42,22940,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.2,0.95,0.95,0.6,True,True,True,True,0.75,0.35,0.75
43,19703,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.85,0.85,0.85,0.85,False,False,False,False,0.0,0.0,0.0
44,5350,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.05,0.15,0.15,0.1,True,True,True,True,0.09999999999999999,0.04999999999999999,0.09999999999999999
45,14183,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.9,0.9,0.9,0.9,False,False,False,False,0.0,0.0,0.0
46,11276,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.35,0.35,0.35,0.35,False,False,False,False,0.0,0.0,0.0
47,14278,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.95,0.95,0.95,0.95,False,False,False,False,0.0,0.0,0.0
48,7365,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
49,15341,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.8,0.65,0.65,0.8,True,True,True,True,0.15000000000000002,0.15000000000000002,0.15000000000000002
50,2646,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
51,7634,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.2,0.15,0.15,0.2,True,True,True,True,0.05000000000000002,0.05000000000000002,0.05000000000000002
52,24367,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.75,0.8,0.8,0.77,True,True,True,True,0.050000000000000044,0.030000000000000027,0.050000000000000044
53,3498,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.08,0.08,0.08,True,False,True,False,0.020000000000000004,0.0,0.020000000000000004
54,13205,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.8,0.85,0.85,0.8,True,True,True,True,0.04999999999999993,0.04999999999999993,0.04999999999999993
55,16153,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.35,0.35,0.35,0.35,False,False,False,False,0.0,0.0,0.0
56,19874,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.95,0.95,0.95,0.95,False,False,False,False,0.0,0.0,0.0
57,1873,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.2,0.34,0.34,0.3,True,True,True,True,0.14,0.040000000000000036,0.14
58,18018,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.75,0.85,0.85,0.8,True,True,True,True,0.09999999999999998,0.04999999999999993,0.09999999999999998
59,19967,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.3,0.67,0.67,0.5,True,True,True,True,0.37000000000000005,0.17000000000000004,0.37000000000000005
60,7082,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.2,0.17,0.17,0.2,True,True,True,True,0.03,0.03,0.03
61,5597,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
62,24434,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.3,0.35,0.35,0.3,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
63,17972,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.85,0.65,0.65,0.85,True,True,True,True,0.19999999999999996,0.19999999999999996,0.19999999999999996
64,18638,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.95,0.95,0.95,0.95,False,False,False,False,0.0,0.0,0.0
65,11726,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.35,0.35,0.35,0.35,False,False,False,False,0.0,0.0,0.0
66,17630,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.85,0.9,0.9,0.85,True,True,True,True,0.050000000000000044,0.050000000000000044,0.050000000000000044
67,22618,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.75,0.65,0.65,0.75,True,True,True,True,0.09999999999999998,0.09999999999999998,0.09999999999999998
68,4805,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.05,0.05,0.1,True,True,True,True,0.05,0.05,0.05
69,21096,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.9,0.85,0.85,0.9,True,True,True,True,0.050000000000000044,0.050000000000000044,0.050000000000000044
70,18141,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.85,0.85,0.85,0.85,False,False,False,False,0.0,0.0,0.0
71,21616,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.65,0.68,0.68,0.65,True,True,True,True,0.030000000000000027,0.030000000000000027,0.030000000000000027
72,20741,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.2,0.6,0.6,0.4,True,True,True,True,0.39999999999999997,0.19999999999999996,0.39999999999999997
73,19693,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.75,0.82,0.82,0.78,True,True,True,True,0.06999999999999995,0.039999999999999925,0.06999999999999995
74,10886,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
75,5048,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.2,0.1,0.1,0.1,True,False,True,False,0.1,0.0,0.1
76,20989,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.95,0.95,0.95,0.95,False,False,False,False,0.0,0.0,0.0
77,5174,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.2,0.15,0.15,0.2,True,True,True,True,0.05000000000000002,0.05000000000000002,0.05000000000000002
78,8799,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.2,0.25,0.25,0.2,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
79,13123,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.75,0.65,0.65,0.75,True,True,True,True,0.09999999999999998,0.09999999999999998,0.09999999999999998
80,23327,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.65,0.65,0.65,0.65,False,False,False,False,0.0,0.0,0.0
81,4091,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.2,0.15,0.15,0.2,True,True,True,True,0.05000000000000002,0.05000000000000002,0.05000000000000002
82,8771,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.1,0.1,0.1,False,False,False,False,0.0,0.0,0.0
83,6552,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.2,0.15,0.15,0.2,True,True,True,True,0.05000000000000002,0.05000000000000002,0.05000000000000002
84,197,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
85,24934,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.95,0.95,0.95,0.95,False,False,False,False,0.0,0.0,0.0
86,23491,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.95,0.92,0.92,0.95,True,True,True,True,0.029999999999999916,0.029999999999999916,0.029999999999999916
87,13850,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.8,0.65,0.65,0.8,True,True,True,True,0.15000000000000002,0.15000000000000002,0.15000000000000002
88,14221,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.75,0.65,0.65,0.75,True,True,True,True,0.09999999999999998,0.09999999999999998,0.09999999999999998
89,14236,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.85,0.95,0.95,0.9,True,True,True,True,0.09999999999999998,0.04999999999999993,0.09999999999999998
90,17611,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.9,0.85,0.85,0.9,True,True,True,True,0.050000000000000044,0.050000000000000044,0.050000000000000044
91,19320,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.85,0.85,0.85,0.85,False,False,False,False,0.0,0.0,0.0
92,6731,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.35,0.35,0.35,0.35,False,False,False,False,0.0,0.0,0.0
93,8377,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.15,0.15,0.15,0.15,False,False,False,False,0.0,0.0,0.0
94,6853,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.05,0.05,0.1,True,True,True,True,0.05,0.05,0.05
95,23766,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.92,0.95,0.95,0.92,True,True,True,True,0.029999999999999916,0.029999999999999916,0.029999999999999916
96,10109,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.2,0.15,0.15,0.2,True,True,True,True,0.05000000000000002,0.05000000000000002,0.05000000000000002
97,5851,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
98,447,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.2,0.15,0.15,0.2,True,True,True,True,0.05000000000000002,0.05000000000000002,0.05000000000000002
99,19529,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.85,0.85,0.9,0.85,True,False,False,False,0.050000000000000044,0.0,0.0
100,9268,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.3,0.25,0.25,0.3,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
101,13347,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.7,0.65,0.65,0.7,True,True,True,True,0.04999999999999993,0.04999999999999993,0.04999999999999993
102,13649,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.9,0.9,0.9,0.9,False,False,False,False,0.0,0.0,0.0
103,12118,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
104,8284,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.2,0.15,0.15,0.2,True,True,True,True,0.05000000000000002,0.05000000000000002,0.05000000000000002
105,2812,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.2,0.25,0.25,0.2,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
106,22853,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.9,0.85,0.85,0.9,True,True,True,True,0.050000000000000044,0.050000000000000044,0.050000000000000044
107,8912,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.65,0.65,0.7,0.65,True,False,False,False,0.04999999999999993,0.0,0.0
108,7580,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.2,0.15,0.15,0.2,True,True,True,True,0.05000000000000002,0.05000000000000002,0.05000000000000002
109,16575,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.85,0.85,0.85,0.85,False,False,False,False,0.0,0.0,0.0
110,14007,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.85,0.85,0.85,0.85,False,False,False,False,0.0,0.0,0.0
111,10557,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
112,8579,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.05,0.15,0.15,0.1,True,True,True,True,0.09999999999999999,0.04999999999999999,0.09999999999999999
113,8246,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.3,0.27,0.27,0.3,True,True,True,True,0.02999999999999997,0.02999999999999997,0.02999999999999997
114,14363,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.95,0.85,0.85,0.92,True,True,True,True,0.09999999999999998,0.07000000000000006,0.09999999999999998
115,289,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.65,0.68,0.68,0.65,True,True,True,True,0.030000000000000027,0.030000000000000027,0.030000000000000027
116,3778,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
117,8804,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.32,0.35,0.35,0.32,True,True,True,True,0.02999999999999997,0.02999999999999997,0.02999999999999997
118,12887,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.75,0.78,0.78,0.78,True,False,True,False,0.030000000000000027,0.0,0.030000000000000027
119,7116,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.2,0.15,0.15,0.2,True,True,True,True,0.05000000000000002,0.05000000000000002,0.05000000000000002
120,18470,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.78,0.78,0.78,0.78,False,False,False,False,0.0,0.0,0.0
121,13083,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.75,0.35,0.35,0.6,True,True,True,True,0.4,0.25,0.4
122,13914,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.92,0.95,0.95,0.92,True,True,True,True,0.029999999999999916,0.029999999999999916,0.029999999999999916
123,12774,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.8,0.85,0.85,0.8,True,True,True,True,0.04999999999999993,0.04999999999999993,0.04999999999999993
124,11311,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.1,0.1,0.1,False,False,False,False,0.0,0.0,0.0
125,8337,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.15,0.15,0.12,True,True,True,True,0.04999999999999999,0.03,0.04999999999999999
126,3540,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
127,14229,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.9,0.92,0.92,0.91,True,True,True,True,0.020000000000000018,0.010000000000000009,0.020000000000000018
128,2266,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
129,16436,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.98,0.95,0.95,0.98,True,True,True,True,0.030000000000000027,0.030000000000000027,0.030000000000000027
130,8704,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.25,0.15,0.15,0.25,True,True,True,True,0.1,0.1,0.1
131,23728,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.88,0.93,0.93,0.9,True,True,True,True,0.050000000000000044,0.030000000000000027,0.050000000000000044
132,4994,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
133,12914,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.3,0.24,0.24,0.3,True,True,True,True,0.06,0.06,0.06
134,1484,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.35,0.37,0.37,0.35,True,True,True,True,0.020000000000000018,0.020000000000000018,0.020000000000000018
135,17497,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.92,0.92,0.92,0.92,False,False,False,False,0.0,0.0,0.0
136,14160,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.95,0.85,0.85,0.95,True,True,True,True,0.09999999999999998,0.09999999999999998,0.09999999999999998
137,18362,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.2,0.15,0.15,0.2,True,True,True,True,0.05000000000000002,0.05000000000000002,0.05000000000000002
138,24637,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.9,0.85,0.85,0.9,True,True,True,True,0.050000000000000044,0.050000000000000044,0.050000000000000044
139,19921,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.85,0.92,0.92,0.88,True,True,True,True,0.07000000000000006,0.040000000000000036,0.07000000000000006
140,20182,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.75,0.85,0.85,0.8,True,True,True,True,0.09999999999999998,0.04999999999999993,0.09999999999999998
141,330,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.2,0.15,0.15,0.2,True,True,True,True,0.05000000000000002,0.05000000000000002,0.05000000000000002
142,11593,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.3,0.25,0.25,0.3,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
143,8787,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.1,0.2,0.1,True,False,False,False,0.1,0.0,0.0
144,15813,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.92,0.95,0.95,0.92,True,True,True,True,0.029999999999999916,0.029999999999999916,0.029999999999999916
145,21580,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.75,0.68,0.68,0.75,True,True,True,True,0.06999999999999995,0.06999999999999995,0.06999999999999995
146,22820,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.6,0.85,0.85,0.75,True,True,True,True,0.25,0.09999999999999998,0.25
147,2226,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.05,0.05,0.05,0.05,False,False,False,False,0.0,0.0,0.0
148,21071,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.92,0.78,0.78,0.92,True,True,True,True,0.14,0.14,0.14
149,23625,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.9,0.92,0.92,0.91,True,True,True,True,0.020000000000000018,0.010000000000000009,0.020000000000000018
150,19345,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.9,0.85,0.85,0.9,True,True,True,True,0.050000000000000044,0.050000000000000044,0.050000000000000044
151,3379,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.3,0.15,0.15,0.3,True,True,True,True,0.15,0.15,0.15
152,797,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
153,2994,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.12,0.12,0.12,True,False,True,False,0.01999999999999999,0.0,0.01999999999999999
154,14858,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.55,0.85,0.85,0.75,True,True,True,True,0.29999999999999993,0.09999999999999998,0.29999999999999993
155,7388,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
156,24870,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.75,0.85,0.85,0.8,True,True,True,True,0.09999999999999998,0.04999999999999993,0.09999999999999998
157,7549,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.1,0.1,0.1,False,False,False,False,0.0,0.0,0.0
158,10642,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.2,0.35,0.35,0.3,True,True,True,True,0.14999999999999997,0.04999999999999999,0.14999999999999997
159,16980,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.65,0.65,0.65,0.65,False,False,False,False,0.0,0.0,0.0
160,8624,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.1,0.1,0.1,False,False,False,False,0.0,0.0,0.0
161,2003,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
162,24352,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.9,0.87,0.87,0.9,True,True,True,True,0.030000000000000027,0.030000000000000027,0.030000000000000027
163,13217,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.85,0.85,0.85,0.85,False,False,False,False,0.0,0.0,0.0
164,822,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
165,2358,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.2,0.25,0.25,0.2,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
166,14369,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.95,0.95,0.95,0.95,False,False,False,False,0.0,0.0,0.0
167,11388,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
168,21342,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.95,0.92,0.92,0.95,True,True,True,True,0.029999999999999916,0.029999999999999916,0.029999999999999916
169,11077,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.2,0.35,0.35,0.3,True,True,True,True,0.14999999999999997,0.04999999999999999,0.14999999999999997
170,12062,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.05,0.05,0.1,True,True,True,True,0.05,0.05,0.05
171,1067,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.2,0.15,0.15,0.2,True,True,True,True,0.05000000000000002,0.05000000000000002,0.05000000000000002
172,4011,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.15,0.15,0.12,True,True,True,True,0.04999999999999999,0.03,0.04999999999999999
173,20160,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.95,0.85,0.85,0.95,True,True,True,True,0.09999999999999998,0.09999999999999998,0.09999999999999998
174,3790,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.3,0.65,0.65,0.5,True,True,True,True,0.35000000000000003,0.15000000000000002,0.35000000000000003
175,11167,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.2,0.15,0.15,0.2,True,True,True,True,0.05000000000000002,0.05000000000000002,0.05000000000000002
